                              timestamp      open      high       low     close    volume  quote_asset_volume  number_of_trades  taker_buy_base_asset_volume  taker_buy_quote_asset_volume       rsi      macd  macd_signal  macd_diff   bb_high    bb_low    bb_mid  bb_high_indicator  bb_low_indicator       atr     ema24    ema168    ema672   ema8766     sma24    sma168    sma672   sma8766
rsi                            0.094002  0.072552  0.074994  0.075901  0.077092  0.016244            0.040961          0.024798                     0.032483                      0.064391  1.000000  0.737840     0.617997   0.519297  0.049033  0.047682  0.048396           0.403722         -0.383855 -0.004999  0.048752  0.017751  0.011739 -0.049761  0.044636  0.015228  0.011382 -0.062750
macd                           0.114194  0.094308  0.094265  0.095720  0.095314 -0.000689            0.027861          0.021642                     0.005739                      0.038651  0.737840  1.000000     0.954181   0.336902  0.067904  0.069229  0.068592           0.148164         -0.147718 -0.042652  0.066896  0.016100  0.006205 -0.065996  0.062868  0.011195  0.005377 -0.077943
macd_signal                    0.121166  0.100770  0.100224  0.101495  0.100944  0.000648            0.033512          0.024520                     0.004795                      0.040318  0.617997  0.954181     1.000000   0.039729  0.080884  0.083319  0.082123           0.069545         -0.071641 -0.041192  0.078250  0.019517  0.007702 -0.069852  0.076313  0.013203  0.006338 -0.082599
macd_diff                      0.000071 -0.002158 -0.000580  0.000276  0.000657 -0.004338           -0.012413         -0.004885                     0.004075                      0.002203  0.519297  0.336902     0.039729   1.000000 -0.027753 -0.030990 -0.029358           0.275933         -0.267850 -0.012814 -0.022833 -0.007648 -0.003513 -0.000587 -0.030191 -0.004159 -0.001988 -0.000372
bb_high                        0.505286  0.998941  0.998998  0.998719  0.998851 -0.399045           -0.182757         -0.352875                    -0.397506                     -0.181341  0.049033  0.067904     0.080884  -0.027753  1.000000  0.997861  0.999484           0.003450          0.003927  0.701011  0.999464  0.994052  0.982350  0.576920  0.999462  0.991631  0.976798  0.298469
bb_low                         0.517562  0.998868  0.998704  0.998866  0.998766 -0.411357           -0.200279         -0.364654                    -0.409771                     -0.198780  0.047682  0.069229     0.083319  -0.030990  0.997861  1.000000  0.999446           0.003601          0.004427  0.667064  0.999391  0.992990  0.980561  0.565793  0.999420  0.990340  0.974925  0.284852
bb_mid                         0.511587  0.999440  0.999388  0.999325  0.999344 -0.405307           -0.191463         -0.358850                    -0.403744                     -0.190005  0.048396  0.068592     0.082123  -0.029358  0.999484  0.999446  1.000000           0.003526          0.004175  0.684709  0.999963  0.994062  0.981996  0.571762  0.999976  0.991527  0.976400  0.291939
bb_high_indicator              0.027656  0.011668  0.015620  0.012778  0.015867  0.137987            0.182071          0.126648                     0.150873                      0.201128  0.403722  0.148164     0.069545   0.275933  0.003450  0.003601  0.003526           1.000000         -0.068494 -0.002577  0.004448  0.000946  0.000259 -0.020358  0.003076  0.000801  0.000445 -0.028270
bb_low_indicator              -0.021417 -0.003742 -0.004484 -0.008295 -0.008079  0.135107            0.171372          0.122606                     0.120998                      0.150429 -0.383855 -0.147718    -0.071641  -0.267850  0.003927  0.004427  0.004175          -0.068494          1.000000  0.021331  0.003362  0.006893  0.007125  0.017384  0.004669  0.007076  0.006860  0.019286
atr                            0.112026  0.682710  0.686124  0.678867  0.682597 -0.098838            0.119748         -0.069007                    -0.098376                      0.119206 -0.004999 -0.042652    -0.041192  -0.012814  0.701011  0.667064  0.684709          -0.002577          0.021331  1.000000  0.685196  0.699348  0.703522  0.602226  0.685172  0.701694  0.700460  0.460399
ema24                          0.511316  0.999508  0.999463  0.999398  0.999419 -0.405541           -0.191761         -0.359160                    -0.403966                     -0.190282  0.048752  0.066896     0.078250  -0.022833  0.999464  0.999391  0.999963           0.004448          0.003362  0.685196  1.000000  0.994449  0.982454  0.572367  0.999959  0.991962  0.976869  0.292456
ema168                         0.487580  0.992890  0.992970  0.992685  0.992783 -0.412718           -0.203098         -0.371288                    -0.411433                     -0.202115  0.017751  0.016100     0.019517  -0.007648  0.994052  0.992990  0.994062           0.000946          0.006893  0.699348  0.994449  1.000000  0.994710  0.603064  0.994306  0.999504  0.991257  0.321434
ema672                         0.444158  0.980714  0.980889  0.980458  0.980599 -0.421122           -0.217389         -0.388931                    -0.419938                     -0.216600  0.011739  0.006205     0.007702  -0.003513  0.982350  0.980561  0.981996           0.000259          0.007125  0.703522  0.982454  0.994710  1.000000  0.652065  0.982278  0.994287  0.998861  0.370992
ema8766                       -0.316246  0.569643  0.570958  0.568301  0.569416 -0.215834           -0.107835         -0.235429                    -0.215630                     -0.108504 -0.049761 -0.065996    -0.069852  -0.000587  0.576920  0.565793  0.571762          -0.020358          0.017384  0.602226  0.572367  0.603064  0.652065  1.000000  0.572252  0.602254  0.649556  0.934445
sma24                          0.511211  0.999298  0.999248  0.999178  0.999199 -0.405400           -0.191614         -0.359043                    -0.403863                     -0.190202  0.044636  0.062868     0.076313  -0.030191  0.999462  0.999420  0.999976           0.003076          0.004669  0.685172  0.999959  0.994306  0.982278  0.572252  1.000000  0.991790  0.976682  0.292397
sma168                         0.486175  0.990322  0.990430  0.990097  0.990216 -0.412259           -0.203340         -0.370828                    -0.411013                     -0.202413  0.015228  0.011195     0.013203  -0.004159  0.991631  0.990340  0.991527           0.000801          0.007076  0.701694  0.991962  0.999504  0.994287  0.602254  0.991790  1.000000  0.990815  0.321018
sma672                         0.443228  0.975136  0.975320  0.974887  0.975024 -0.419584           -0.217636         -0.387732                    -0.418384                     -0.216836  0.011382  0.005377     0.006338  -0.001988  0.976798  0.974925  0.976400           0.000445          0.006860  0.700460  0.976869  0.991257  0.998861  0.649556  0.976682  0.990815  1.000000  0.368258
sma8766                       -0.564920  0.289968  0.291579  0.288304  0.289746 -0.023198            0.023437         -0.045359                    -0.023087                      0.022740 -0.062750 -0.077943    -0.082599  -0.000372  0.298469  0.284852  0.291939          -0.028270          0.019286  0.460399  0.292456  0.321434  0.370992  0.934445  0.292397  0.321018  0.368258  1.000000
